馬來西亞 Malaysia,#genre#
Sony Pix HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=sonypix_mega
Star Movies HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=starmovies_raj
Thrill,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Thrill
Warner TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=WarnerTV
tvN Movie,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Tvnmovie
大愛2台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=catchplay_twn
龍華電影,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=xingwei_movie
東森洋片,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ettvwestern
東森電影,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ettvmovie
美亞電影,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=meiyamovie_twn
龍華洋片,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=lunghuawestern_twn
龍祥时代,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=lungxiangtime_twn
紀錄 Documentary,#genre#
AFC 亞洲旅遊台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=asiatravel_twn
Animal Planet (Eng),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=AnimalPlanet
Animal_Planet,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=animalplanet_twn
Asia Travel,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=asiatravel_twn
BBC Earth HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bbcearth_twn
BBC Earth Lifestyle,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bbclifestyle_twn
CI,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ci_twn
Discovery Asia,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=discoverytwn_twn
Discovery HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=discoveryhd_twn
Fashion TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=fashiontv_twn
Foodnetwork Hd,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Foodnetwork_mega
HGTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=HGTV
History,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=History
MTV Live,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=mtvhd_twn
NatGeo HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Natgeo
NatGeo Wild HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Natgeowild
NatGeo_Wild HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=natgeowild_twn
Natgeo_HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=natgeohd_twn
TLC,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Tlc
TLC Asia,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tlc_twn
亞洲美食,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=afc_twn
美食星球,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=foodplanet_twn
新聞 News,#genre#
ABC News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=abcnews_glo
Al-Jazeera,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=aljazeera_twn
BBC World News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Bbcnews
BBC World News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bbcnews_twn
Bloomberg News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bloomberg_twn
CBS HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cbshd_glo
CBSN HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cbsn_glo
CGTN,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=CGTN
CNA,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cna
CNBC,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cnbc_twn
CNN International,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Cnn
CNN(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cnn_twn
DW (Deutsch),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=dw_twn
Fox News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=foxnews_twn
France 24,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=france24_twn
NHK World,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=nhkworld_japan
Skynews,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=skynews_antik
東森財經新聞,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ettvcaijing_twn
兒童 Kids,#genre#
Animax,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Animax
Baby TV Eng,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Babytv
Baby TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=babytv_twn
Boomerang Taiwan,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=boomerang_twn
Boomerang,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Boomerang
CBeebies,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Cbeebies
Cartoon Network,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Cn
Disney Taiwan,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=disneytwn_twn
Kids TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=KidsTV
MiaoMi,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=MiaoMi
Momo TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=momo1_twn
Nick Jr,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Nickjr
Nickelodeon,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Nickelodeon
東森幼幼 Yoyo TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=yoyo_twn
靖天卡通台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=jingtiancartoon_twn
泰國 Thailand,#genre#
Amarin,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=amarin_pat
Ch 8,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ch8_pat
Channel 3 Thailand,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ch3_pat
Channel 5 Thailand,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ch5_pat
Channel 7 Thailand,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ch7_pat
Gmm Channel,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=gmmchannel_pat
GmmOne,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=gmmone_pat
MCOT HD Thailand-1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=mcot_pat
Mono,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=mono_pat
Nation,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=nation_pat
Nbt,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=nbt_pat
New,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=new_pat
PPTV Thailand1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=pptv_pat
TPTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tptv_pat
Thai Thai,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=thaithai_pat
Thairath,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=thairath_pat
Tnn24,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tnn24_pat
Workpoint,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=workpoint_pat
tpbs,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tpbs_pat
英國 United Kingdom,#genre#
Al-Jazeera,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=aljazeera_twn
Animal Planet (Eng),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=AnimalPlanet
Axn HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Axn
BBC 1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bbc1_antik
BBC 2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bbc2_antik
BBC Earth HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bbcearth_twn
BBC Earth Lifestyle,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bbclifestyle_twn
BBC World News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bbcworldnews_antik
Bloomberg News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bloomberg_twn
Boomerang,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Boomerang
CBBC,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cbbc_antik
CBeebies,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Cbeebies
CGTN,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=CGTN
CNBC,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cnbc_twn
Channel 4,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=channel4_antik
DW (Deutsch),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=dw_twn
Euronews,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=euronews_antik
France 24,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=france24_twn
Freesports,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=freesports_antik
HBO HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hbo
HGTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=HGTV
History,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=History
Hits Movie,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hitsmovie
Kids TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=KidsTV
MTV Live,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=mtvhd_twn
More4,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=more4_antik
NHK World,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=nhkworld_japan
NatGeo HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Natgeo
NatGeo Wild HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Natgeowild
Nick Jr,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Nickjr
Nickelodeon,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Nickelodeon
Pick TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=picktv_antik
Skynews,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=skynews_antik
Skysports Arena,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongarena
Skysports Cricket,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongcricket
Skysports EPL,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongepl
Skysports F1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongf1
Skysports Football,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongfootball
Skysports Golf,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankonggolf
Skysports Main Event,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongmain
Skysports News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongnews
Star Movies HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=starmovies_raj
TLC,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Tlc
Thrill,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Thrill
Warner TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=WarnerTV
itv 1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=itv1_antik
itv 2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=itv2_antik


印尼 Indonesia,#genre#
TVRI National,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=TVRI
RCTI,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Rcti
Kompass TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Kompass
Berita Satu,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=BeritaSatu_eko
Indosiar HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Indosiar
AnTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Antv
MNC TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Mnctv
Trans 7,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Trans7_eko
Transtv,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Transtv
JTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=JTV_eko
Metro TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=metrotv_eko
Cinemax,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Cinemax
SCTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=SCTV
Tvone,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Tvone
TVMU,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=TVMU_eko
GTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Gtv
RTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Rtv
Jak TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=JakTV
iNews TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Inewstv
Daai TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=DaaiTV
Net TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=NetTV
Animax,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Animax
EWTN,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Ewtn
AlQuran AlKareem,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=AlQuran
Tawaf TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=TawafTV
Vision Prime,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=VisionPrime
Muslim TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=MuslimTV
Music TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=MusicTV
Lifestyle&Fashion,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Lifestyle
Entertain,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Entertain
Hits,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hits
Warner TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=WarnerTV
SCM,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Weishimovie
Thrill,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Thrill
Fight Sports,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Fs
Beinsports 2 HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Bein2hd
Hits Movie,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hitsmovie
One,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=One_mega
tvN Movie,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Tvnmovie
Celestial Movies HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Celestialindo
Rock Actions,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Rockaction
Rock Entertainment,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Rockentertain

印度 Indian,#genre#
Sun TV HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Suntv
Star Vijay,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Starvijay
Colors Tamil,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Colorstam_mega
Sun Music,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Sunmusic
Astro Sunlife,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Sunlife
Astro Vaanavil,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Vaanavil
Zee Tamil,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Zeetamil
Zee Business,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Zeebusiness
News 18 Tamil,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=news18tamil_raj
Adithya,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Adithya
Makkal TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Makkaltv
Zee Action,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Zeeaction
Astro KTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Astroktv
Zee TV HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Zeetvhd
Zee Cinema HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Zeecinemahd
Color HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Colorhd
Starplus HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Starplushd
Picture HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Npicture
Zee News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Zeenews
Asianet,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=asianet_raj
Asianet News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=asianetnews_raj
Times Now,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=timesnow_mega
BBC Earth Tamil,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bbcearthtam_raj
Discovery World Tamil,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=discoveryworldtam_raj
History Tamil,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=historytam_raj
NatGeo Tamil,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=natgeowildtamil_raj
Discovery Kids Tamil,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=discoverykidtamil_raj
Discovery Tamil,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=discoverytamil_raj
Sony Yay Tamil,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=sonyyaytam_raj
Sun TV India,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=suntv_raj
Starmaa HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=starmaa_raj
Starmaa Movies HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=starmaamovies_raj
Bollyone,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Bollyone
Astro Sunmusic,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Sunmusic
Sony Pix HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=sonypix_mega
Vijay Super,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=vijaysuper_raj

越南 Vietnam,#genre#
ANTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viet_antv
BPTV 2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viet_bptv2
BRT HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viet_brt
Ca Mau TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viet_camautv
Danang TV1 HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viet_danangtv1
Danang TV2 HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viet_danangtv2
HBTV HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viet_hbtv
HTV 7,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viet_htv7
HTV 9,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viet_htv9
PTTH 1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viet_ptth1
VTV 1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viet_vtv1
VTV 7,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viet_vtv7
韓國 Korea,#genre#
All the Kpop,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=allthekpop_korea
Apps TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=appongoogle_korea
Arirang HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=arirang_korea
CBS,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cbs_korea
CGNTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cgntv_korea
EBS 1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ebs1_korea
EBS Kids,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ebskids_korea
EBS Plus2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ebsplus2_korea
EBS2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ebs2_korea
J the Kpop,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=jthekpop_korea
KBS World 24,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=kbsworld24_korea
SBS Plus,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=sbsplus_korea
YTN DMB,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ytndmb_korea
YTN Korean,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ytnkorean_korea
YTN Science,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ytnscience_korea
YTN,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ytn_korea
Yonhap News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=yonhapnews_korea
日本 Japan,#genre#
BS-TBS,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bstbs_japan
BSジャパン 181,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bs181_japan
BSフジ BS Fuji,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bsfuji_japan
CNA Japan,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cna_japan
JET 綜合,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=jettv_japan
NHK Oaska,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=nhkosaka_japan
NHK World,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=nhkworld_japan
NHK-E,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=nhke_japan
NHK-総合-2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=nhkg_japan
NHKBS1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=nhkbs1_japan
NHKBSプレミア Premium,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=nhkpremium_japan
TOKYOMX,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tokyomx_japan
テレビ朝日 Asahi TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=asahitv_japan
テレビ東京 Tokyo TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tokyotv_japan

